service_id,service_name,barcode,price_total,works_names,works_prices,works_totals,item_names,item_articles,item_brands,item_quantities,item_prices,item_totals
56852390,Замена антифриза (охлаждающей жидкости),2400000000334,3800.0,"[""Замена охлаждающей жидкости ДВС, прокачка системы охлаждения ДВС""]","[""1520.0""]","[""1520.0""]","[""Антифриз долговременный Clinch ORGANIC ADDITIVES G12+ (разл., 0,1л)""]","[""3204""]","[""Clinch""]","[""60.0""]","[""38.0""]","[""2280.0""]"
54416011,Замена втулок стабилизатора на VW Polo седан,2400000000167,4760.0,"[""Втулка стабилизатора переднего с/у""]","[""930.0""]","[""1860.0""]","[""Втулка стабилизатора переднего для VW Polo седан, VAG""]","[""6Q0411314P""]","[""VAG""]","[""2.0""]","[""1450.0""]","[""2900.0""]"
56851907,"Замена задних тормозных дисков и колодок 15- (polo, rapid). 110лс.",2400000000303,14650.0,"[""Диск тормозной задний (2 шт.), с/у"", ""Обслуживание задних суппортов""]","[""3000.0"", ""800.0""]","[""3000.0"", ""800.0""]","[""Колодки тормозные задние для дисковых тормозов Polo седан SANGSIN"", ""Тормозной диск задний для VW Polo седан Skoda Rapid (г.в. с 2015), SANGSIN""]","[""SP1391"", ""SD5402""]","[""HiQ"", ""HiQ""]","[""1.0"", ""2.0""]","[""3750.0"", ""3550.0""]","[""3750.0"", ""7100.0""]"
56852052,"Замена задних тормозных колодок 15- (polo, rapid). 110лс..",2400000000310,6400.0,"[""Колодки тормозные диск., задние с/у"", ""Обслуживание задних суппортов""]","[""1850.0"", ""800.0""]","[""1850.0"", ""800.0""]","[""Колодки тормозные задние для дисковых тормозов Polo седан SANGSIN""]","[""SP1391""]","[""HiQ""]","[""1.0""]","[""3750.0""]","[""3750.0""]"
54032584,"Замена масла в АКПП (CFN 105лс) 10-15 (polo, rapid)",2400000000013,14280.0,"[""Частичная замена трансм. масла ATF в АКПП, с/у поддона и замена масл. фильтра""]","[""3500.0""]","[""3500.0""]","[""Кольцо уплотнител., сливной пробки поддона АКПП VAG"", ""Комплект для замены масла в АКПП VW Polo 10-15"", ""Cливная пробка поддона АКПП VAG"", ""Болт поддона АКПП для а/м VW Polo седан, Skoda Rapid, VAP"", ""Масло трансмиссионное ATF 1200 Rosneft Kinetic""]","[""09D321181B"", ""100 137 0001"", ""WHT000310A"", ""WHT000309"", ""000019446""]","[""VAG"", ""Meyle"", ""VAG"", ""VAP"", ""Rosneft""]","[""1.0"", ""1.0"", ""1.0"", ""8.0"", ""4.0""]","[""350.0"", ""4150.0"", ""680.0"", ""75.0"", ""1250.0""]","[""350.0"", ""4150.0"", ""680.0"", ""600.0"", ""5000.0""]"
54331476,"Замена масла в АКПП (cwva 110 лс) 15- (polo, octav, rapid)",2400000000051,14880.0,"[""Защита двигателя, с/у"", ""Частичная замена трансм. масла ATF в АКПП, с 2015 г.в., с/у поддона и замена масл. фильтра""]","[""500.0"", ""3500.0""]","[""500.0"", ""3500.0""]","[""Масло трансмиссионное ATF 1800 Multi LF ZIC"", ""Фильтр сетчатый масляный для АКПП VW Polo седан, с 2015 г NSP"", ""Прокладка поддона масл. АКПП для а/м VW Polo седан, J+P Group"", ""Cливная пробка поддона АКПП VAG"", ""Кольцо уплотнител., сливной пробки поддона АКПП VAG"", ""Болт поддона АКПП для а/м VW Polo седан, Skoda Rapid, VAP""]","[""162665"", ""NSP0809G325429E"", ""1132102500"", ""WHT000310A"", ""09D321181B"", ""WHT000309""]","[""ZIC"", ""NSP"", ""JP Group"", ""VAG"", ""VAG"", ""VAP""]","[""1.0"", ""1.0"", ""1.0"", ""1.0"", ""1.0"", ""8.0""]","[""4850.0"", ""2850.0"", ""1550.0"", ""680.0"", ""350.0"", ""75.0""]","[""4850.0"", ""2850.0"", ""1550.0"", ""680.0"", ""350.0"", ""600.0""]"
54416766,Замена передних амортизаторов Polo/Rapid KYB,2400000000204,32540.0,"[""Амортизатор передний, с/у""]","[""2850.0""]","[""5700.0""]","[""Опора (отбойник) амортизатора переднего для VW Polo седан, LEMFOERDER"", ""Подшипник стойки опорный для VW Polo седан, LEMFOERDER"", ""Амортизатор передний для VW Polo седан KAYABA (серия Excel-G)""]","[""21793 02"", ""3695601"", ""339763""]","[""LEMFÖRDER"", ""Lemfoerder"", ""KYB""]","[""2.0"", ""2.0"", ""2.0""]","[""2250.0"", ""1650.0"", ""9520.0""]","[""4500.0"", ""3300.0"", ""19040.0""]"
54338399,"Замена передних торм колодок 11-15, 15- (polo, rapid)",2400000000075,6300.0,"[""Колодки тормозные передние, с/у"", ""Направляющие суппортов передних, обслуживание""]","[""1850.0"", ""800.0""]","[""1850.0"", ""800.0""]","[""Комплект передних тормозных накладок для VW Polo седан, SANGSIN""]","[""SP1595""]","[""HiQ""]","[""1.0""]","[""3650.0""]","[""3650.0""]"
54338248,"Замена передних тормозных дисков и колодок 11-15, 15- (polo, rapid)",2400000000068,15110.0,"[""Диск тормозной передний (2 шт.), с/у"", ""Направляющие суппортов передних, обслуживание""]","[""3300.0"", ""800.0""]","[""3300.0"", ""800.0""]","[""Комплект передних тормозных накладок для VW Polo седан, SANGSIN"", ""Диск тормозной передний для VW Polo седан, SANGSIN""]","[""SP1595"", ""SD5401""]","[""HiQ"", ""HiQ""]","[""1.0"", ""2.0""]","[""3650.0"", ""3680.0""]","[""3650.0"", ""7360.0""]"
56850763,"Замена передних тормозных дисков и колодок 15- (polo, rapid). 110лс",2400000000297,15110.0,"[""Диск тормозной передний (2 шт.), с/у"", ""Направляющие суппортов передних, обслуживание""]","[""3300.0"", ""800.0""]","[""3300.0"", ""800.0""]","[""Диск тормозной передний для VW Polo седан, SANGSIN"", ""Комплект передних тормозных накладок для VW Polo седан, SANGSIN""]","[""SD5401"", ""SP1595""]","[""HiQ"", ""HiQ""]","[""2.0"", ""1.0""]","[""3680.0"", ""3650.0""]","[""7360.0"", ""3650.0""]"
54385570,"Замена приводного ремня 15-, CWVA (polo, rapid)",2400000000129,10840.0,"[""Ролик натяжной (а/м с конд.), с/у"", ""Ремень генератора, с/у"", ""Защита двигателя, с/у""]","[""900.0"", ""800.0"", ""500.0""]","[""900.0"", ""800.0"", ""500.0""]","[""Ремень приводной (генератора) для для а/м Polo седан, Skoda Rapid (CWVA, CWVB) 110-90л.с., VAG"", ""Ролик натяжной ремня генератора для а/м Polo, Rapid (CWVA) 110-90 л.с""]","[""04C260849E"", ""531 0871 10""]","[""VAG"", ""Schaeffler INA""]","[""1.0"", ""1.0""]","[""2950.0"", ""5690.0""]","[""2950.0"", ""5690.0""]"
54385164,Замена ремня ГРМ не ориг CWVA 110. contitech,2400000000136,25750.0,"[""Ремень ГРМ, замена"", ""Защита двигателя, с/у""]","[""8000.0"", ""500.0""]","[""8000.0"", ""500.0""]","[""Комплект ремня ГРМ""]","[""CT1167K1""]","[""CONTINENTAL CTAM""]","[""1.0""]","[""17250.0""]","[""17250.0""]"
80899599,"Замена ремня ГРМ не ориг CWVA 110, INA АКЦИЯ",2400000000365,17000.0,"[""Ремень ГРМ, замена"", ""Защита двигателя, с/у""]","[""8000.0"", ""500.0""]","[""8000.0"", ""500.0""]","[""Комплект ремня ГРМ для а/м VW Polo, Skoda Rapid, CWVA 1,6 INA""]","[""530059211""]","[""INA""]","[""1.0""]","[""8500.0""]","[""8500.0""]"
54384779,Замена ремня ГРМ оригинал CWVA 110,2400000000112,38700.0,"[""Ремень ГРМ, замена"", ""Защита двигателя, с/у""]","[""8000.0"", ""500.0""]","[""8000.0"", ""500.0""]","[""Болт 12-гранный шкива коленвала CWVA"", ""Ролик натяжной ремня ГРМ CWVA 1,6 VAG"", ""Ролик обводной ремня ГРМ для а/м Polo, Jetta, Rapid, Octavia 110, 125 л.с., (CWVA, CZCA), VAG"", ""Ремень ГРМ для а/м Polo седан, Skoda Rapid, Octavia (CWVA) 110-90 л.с., VAG""]","[""N91204401"", ""04E109479AA"", ""04E109244B"", ""04E109119""]","[""VAG"", ""VAG"", ""VAG"", ""VAG""]","[""1.0"", ""1.0"", ""1.0"", ""1.0""]","[""1080.0"", ""11910.0"", ""7690.0"", ""9520.0""]","[""1080.0"", ""11910.0"", ""7690.0"", ""9520.0""]"
56852244,Замена тормозной жидкости,2400000000327,2420.0,"[""Тормозная жидкость, замена""]","[""1520.0""]","[""1520.0""]","[""Жидкость тормозная RosDot-4 1L""]","[""000002088""]","[""""]","[""1.0""]","[""900.0""]","[""900.0""]"
54414912,"Замена цепи ГРМ (cfn 105) 10-15 (polo, rapid) н/ориг зпч, масло Лукой.",2400000000341,43350.0,"[""Цепь ГРМ, регулировка с/у"", ""Защита двигателя, с/у"", ""Масло моторное + фильтр масл., замена""]","[""12500.0"", ""500.0"", ""1150.0""]","[""12500.0"", ""500.0"", ""1150.0""]","[""Болт 12-гранный шкива коленвала CFNA"", ""Силиконовый герметик (серый) Silicon-Dichtmasse grau"", ""Сальник коленвала передний VW Polo"", ""Уплотнительное кольцо для VW Polo седан, VAG"", ""Масло Genesis Special Advanced 5W-40 LUKOIL (разл., 0,1л) 1644761"", ""Очиститель деталей ДВС"", ""Прокладка для VW Polo седан, VAG"", ""Фильтр масляный для VW Polo (СFN) MANN"", ""Втулка для VW Polo седан, VAG"", ""Цепь ГРМ комплект для VW Polo седан (CFNA), Febi"", ""Пробка сливная картера для VW Polo седан, VAG"", ""Прокладка, крышки изменения фаз CFN""]","[""N91048601"", ""7641"", ""81-34366-00"", ""N90903201"", ""1644761"", ""3231"", ""03C109293"", ""W 712/94"", ""03C105159H"", ""40672"", ""N90813202"", ""092.750""]","[""VAG"", ""LIQUI MOLY"", ""VICTOR REINZ"", ""VAG"", ""LUKOIL"", """", ""VAG"", ""MANNFILTER"", ""VAG"", ""FEBI"", ""VAG"", ""ELRING""]","[""1.0"", ""1.0"", ""1.0"", ""1.0"", ""40.0"", ""1.0"", ""2.0"", ""1.0"", ""1.0"", ""1.0"", ""1.0"", ""1.0""]","[""1080.0"", ""1390.0"", ""1680.0"", ""650.0"", ""70.0"", ""500.0"", ""390.0"", ""1750.0"", ""3960.0"", ""11900.0"", ""360.0"", ""2350.0""]","[""1080.0"", ""1390.0"", ""1680.0"", ""650.0"", ""2800.0"", ""500.0"", ""780.0"", ""1750.0"", ""3960.0"", ""11900.0"", ""360.0"", ""2350.0""]"
54413805,"Замена цепи ГРМ (cfn 105) 10-15 (polo, rapid) Оригинал Castrol",2400000000143,63014.0,"[""Цепь ГРМ, регулировка с/у"", ""Защита двигателя, с/у"", ""Масло моторное + фильтр масл., замена""]","[""12500.0"", ""500.0"", ""1150.0""]","[""12500.0"", ""500.0"", ""1150.0""]","[""Направляющая цепи ГРМ для VW Polo седан, VAG"", ""Направляющая цепи ГРМ для VW Polo седан, VAG"", ""Натяжное устройство цепи ГРМ для VW Polo седан, VAG"", ""Прокладка крышки изменения фаз для VW Polo седан VAG"", ""Болт 12-гранный шкива коленвала CFNA"", ""Силиконовый герметик (серый) Silicon-Dichtmasse grau"", ""Цепь привода ГРМ для VW Polo седан, VAG"", ""Сальник коленвала передний VW Polo"", ""Прокладка для VW Polo седан, VAG"", ""Уплотнительное кольцо для VW Polo седан, VAG"", ""Втулка для VW Polo седан, VAG"", ""Масло моторное синтетическое Castrol MAGNATEC 5W-40 (разл., 0,1л)15C9DD"", ""Пробка сливная картера для VW Polo седан, VAG"", ""Фильтр масляный для VW Polo (СFN) MANN"", ""Очиститель деталей ДВС""]","[""03C109469K"", ""03C109509P"", ""03C109507BA"", ""03C109287G"", ""N91048601"", ""7641"", ""03C109158A"", ""81-34366-00"", ""03C109293"", ""N90903201"", ""03C105159H"", ""15C9DD"", ""N90813202"", ""W 712/94"", ""3231""]","[""AMOS POLO"", ""AMOS POLO"", ""VAG"", ""VAG"", ""VAG"", ""LIQUI MOLY"", ""VAG"", ""VICTOR REINZ"", ""VAG"", ""VAG"", ""VAG"", ""Castrol"", ""VAG"", ""MANNFILTER"", """"]","[""1.0"", ""1.0"", ""1.0"", ""1.0"", ""1.0"", ""1.0"", ""1.0"", ""1.0"", ""2.0"", ""1.0"", ""1.0"", ""38.0"", ""1.0"", ""1.0"", ""1.0""]","[""2520.0"", ""2490.0"", ""6970.0"", ""4040.0"", ""1080.0"", ""1390.0"", ""15450.0"", ""1680.0"", ""390.0"", ""650.0"", ""3960.0"", ""138.0"", ""360.0"", ""1750.0"", ""500.0""]","[""2520.0"", ""2490.0"", ""6970.0"", ""4040.0"", ""1080.0"", ""1390.0"", ""15450.0"", ""1680.0"", ""780.0"", ""650.0"", ""3960.0"", ""5244.0"", ""360.0"", ""1750.0"", ""500.0""]"
54746540,Промывка радиаторов с частичной разборкой (половинить) на Polo,2400000000266,8290.0,"[""Бампер передний с ПТФ + решетки в бампер, с/у"", ""Панель передняя (телевизор), с/у"", ""Чистка поверхности радиатора без демонтажа (очистка хим + вода)""]","[""2500.0"", ""2500.0"", ""2500.0""]","[""2500.0"", ""2500.0"", ""2500.0""]","[""Очиститель поверхности радиатора LAVR PRO LINE, пенный""]","[""LN2032""]","[""Lavr""]","[""1.0""]","[""790.0""]","[""790.0""]"
54742514,"ТО-1 (cfna 105) 10-15 (polo, rapid) масло Кастрол",2400000000228,12325.0,"[""Масло моторное + фильтр масл., замена"", ""Защита двигателя, с/у"", ""Фильтр салона, с/у (без разбора пер. ящика)"", ""Фильтр воздушный, с/у"", ""Осмотр ходовой части и составление листа осмотра ( 1р - Акция!)""]","[""1150.0"", ""500.0"", ""550.0"", ""570.0"", ""1.0""]","[""1150.0"", ""500.0"", ""550.0"", ""570.0"", ""1.0""]","[""Масло моторное синтетическое Castrol MAGNATEC 5W-40 (разл., 0,1л)15C9DD"", ""Фильтр масляный для VW Polo (СFN) MANN"", ""Фильтр воздушный CFN VW Polo седан, FORTECH"", ""Фильтр салона угольный, антибактериальный для VW Polo седан, RAF FILTER"", ""Пробка сливная картера для VW Polo седан, VAG""]","[""15C9DD"", ""W 712/94"", ""FA087"", ""RSTC004VO"", ""N90813202""]","[""Castrol"", ""MANNFILTER"", ""Fortech"", ""raf"", ""VAG""]","[""38.0"", ""1.0"", ""1.0"", ""1.0"", ""1.0""]","[""138.0"", ""1750.0"", ""850.0"", ""1350.0"", ""360.0""]","[""5244.0"", ""1750.0"", ""850.0"", ""1350.0"", ""360.0""]"
54742786,"ТО-1 (cfna 105) 10-15 (polo, rapid) масло Лукойл.",2400000000242,9740.0,"[""Масло моторное + фильтр масл., замена"", ""Защита двигателя, с/у"", ""Фильтр салона, с/у (без разбора пер. ящика)"", ""Фильтр воздушный, с/у""]","[""1150.0"", ""500.0"", ""550.0"", ""570.0""]","[""1150.0"", ""500.0"", ""550.0"", ""570.0""]","[""Масло Genesis Special Advanced 5W-40 LUKOIL (разл., 0,1л) 1644761"", ""Фильтр масляный для VW Polo (СFN) MANN"", ""Фильтр воздушный CFN VW Polo седан, FORTECH"", ""Фильтр салона угольный, антибактериальный для VW Polo седан, RAF FILTER"", ""Пробка сливная картера для VW Polo седан, VAG""]","[""1644761"", ""W 712/94"", ""FA087"", ""RSTC004VO"", ""N90813202""]","[""LUKOIL"", ""MANNFILTER"", ""Fortech"", ""raf"", ""VAG""]","[""38.0"", ""1.0"", ""1.0"", ""1.0"", ""1.0""]","[""70.0"", ""1750.0"", ""850.0"", ""1350.0"", ""360.0""]","[""2660.0"", ""1750.0"", ""850.0"", ""1350.0"", ""360.0""]"
54416160,"ТО-1 (cwva 90,110) 15- (polo, rapid) масло Кастрол",2400000000174,12801.0,"[""Защита двигателя, с/у"", ""Масло моторное + фильтр масл., замена"", ""Фильтр воздушный, с/у"", ""Фильтр салона, с/у (без разбора пер. ящика)"", ""Осмотр ходовой части и составление листа осмотра ( 1р - Акция!)""]","[""500.0"", ""1150.0"", ""570.0"", ""550.0"", ""1.0""]","[""500.0"", ""1150.0"", ""570.0"", ""550.0"", ""1.0""]","[""Пробка сливная CWVA VAG"", ""Фильтр масляный CWVA VW Polo седан, MANN"", ""Фильтр воздушный CWVA 1,6 TSN 911732"", ""Фильтр салона угольный, антибактериальный для VW Polo седан, RAF FILTER"", ""Кольцо уплотнительное шайба CWVA VAG"", ""Масло моторное синтетическое Castrol MAGNATEC 5W-40 (разл., 0,1л)15C9DD""]","[""N90288901"", ""W 712/95"", ""911732"", ""RSTC004VO"", ""N0138157"", ""15C9DD""]","[""VAG"", ""MANN-FILTER"", ""TSN"", ""raf"", ""VAG"", ""Castrol""]","[""1.0"", ""1.0"", ""1.0"", ""1.0"", ""1.0"", ""40.0""]","[""480.0"", ""1750.0"", ""640.0"", ""1350.0"", ""290.0"", ""138.0""]","[""480.0"", ""1750.0"", ""640.0"", ""1350.0"", ""290.0"", ""5520.0""]"
54416239,"ТО-1 (cwva 90,110) 15- (polo, rapid) масло Лукойл",2400000000181,10081.0,"[""Осмотр ходовой части и составление листа осмотра ( 1р - Акция!)"", ""Защита двигателя, с/у"", ""Масло моторное + фильтр масл., замена"", ""Фильтр воздушный, с/у"", ""Фильтр салона, с/у (без разбора пер. ящика)""]","[""1.0"", ""500.0"", ""1150.0"", ""570.0"", ""550.0""]","[""1.0"", ""500.0"", ""1150.0"", ""570.0"", ""550.0""]","[""Кольцо уплотнительное шайба CWVA VAG"", ""Пробка сливная CWVA VAG"", ""Фильтр масляный CWVA VW Polo седан, MANN"", ""Фильтр воздушный CWVA 1,6 TSN 911732"", ""Фильтр салона угольный, антибактериальный для VW Polo седан, RAF FILTER"", ""Масло Genesis Special Advanced 5W-40 LUKOIL (разл., 0,1л) 1644761""]","[""N0138157"", ""N90288901"", ""W 712/95"", ""911732"", ""RSTC004VO"", ""1644761""]","[""VAG"", ""VAG"", ""MANN-FILTER"", ""TSN"", ""raf"", ""LUKOIL""]","[""1.0"", ""1.0"", ""1.0"", ""1.0"", ""1.0"", ""40.0""]","[""290.0"", ""480.0"", ""1750.0"", ""640.0"", ""1350.0"", ""70.0""]","[""290.0"", ""480.0"", ""1750.0"", ""640.0"", ""1350.0"", ""2800.0""]"
54742735,"ТО-2 (cfna 105) 10-15 (polo, rapid) масло Кастрол.",2400000000259,20575.0,"[""Осмотр ходовой части и составление листа осмотра ( 1р - Акция!)"", ""Масло моторное + фильтр масл., замена"", ""Защита двигателя, с/у"", ""Фильтр салона, с/у (без разбора пер. ящика)"", ""Фильтр воздушный, с/у"", ""Свеча зажигания (4 шт), с/у"", ""Фильтр топливный, с/у""]","[""1.0"", ""1150.0"", ""500.0"", ""550.0"", ""570.0"", ""1250.0"", ""870.0""]","[""1.0"", ""1150.0"", ""500.0"", ""550.0"", ""570.0"", ""1250.0"", ""870.0""]","[""Масло моторное синтетическое Castrol MAGNATEC 5W-40 (разл., 0,1л)15C9DD"", ""Фильтр масляный для VW Polo (СFN) MANN"", ""Фильтр воздушный CFN VW Polo седан, FORTECH"", ""Фильтр салона угольный, антибактериальный для VW Polo седан, RAF FILTER"", ""Пробка сливная картера для VW Polo седан, VAG"", ""Фильтр топливный с регулятором давления 4.0 Bar для VW Polo седан, UFI"", ""Свеча зажигания VW Polo седан, Bosch 0242236565""]","[""15C9DD"", ""W 712/94"", ""FA087"", ""RSTC004VO"", ""N90813202"", ""31.833.00"", ""0242236565""]","[""Castrol"", ""MANNFILTER"", ""Fortech"", ""raf"", ""VAG"", ""UFI"", ""Bosch""]","[""38.0"", ""1.0"", ""1.0"", ""1.0"", ""1.0"", ""1.0"", ""4.0""]","[""138.0"", ""1750.0"", ""850.0"", ""1350.0"", ""360.0"", ""2850.0"", ""820.0""]","[""5244.0"", ""1750.0"", ""850.0"", ""1350.0"", ""360.0"", ""2850.0"", ""3280.0""]"
